"region_a","region_b","weight","total_streams_a"
"vn","cz",459,183269158
"mx","id",170,3730515231
"gt","be",251,211651568
"se","py",49,944441421
"sv","co",4794,104100002
"global","cr",1184,29060235997
"jp","dk",82,1288700883
"hn","at",274,80897137
"es","de",83,2478566814
"sg","co",118,233681017
"ni","ie",240,39326273
"vn","nz",744,183269158
"vn","gr",152,183269158
"sv","no",257,104100002
"lu","it",56,1665635
"ee","cr",298,26079298
"tw","ar",84,235686855
"ro","hn",316,66480910
"nz","co",99,238911758
"th","ro",344,373758083
"us","at",1965,7986316247
"pt","id",605,196362474
"sv","ec",5327,104100002
"se","de",1620,944441421
"ie","ar",66,301787717
"ro","de",1866,66480910
"tw","my",1492,235686855
"do","cr",4348,107506637
"th","lt",282,373758083
"py","be",99,286041437
"tr","il",345,1249971688
"se","hn",269,944441421
"de","co",91,2848080355
"ro","py",49,66480910
"cz","ar",103,133732925
"nl","es",127,1238457931
"sg","pt",1766,233681017
"ni","hn",5695,39326273
"sk","bo",209,59822451
"lv","jp",98,26516393
"id","at",409,1522282447
"bo","at",211,121960058
"ec","bo",5498,258948980
"vn","pa",110,183269158
"sv","pt",541,104100002
"za","pe",228,82232947
"ro","ie",3041,66480910
"th","at",208,373758083
"us","ro",3180,7986316247
"ph","be",997,1335593544
"in","global",1812,1196976949
"ee","ca",3194,26079298
"ro","au",3177,66480910
"my","ar",84,296407407
"fr","ar",178,1747249125
"th","id",1084,373758083
"vn","ee",446,183269158
"lv","il",2173,26516393
"global","ca",4591,29060235997
"nl","dk",2232,1238457931
"vn","ni",165,183269158
"se","fr",889,944441421
"sv","gt",5987,104100002
"dk","cz",2147,420215977
"ch","be",4271,227284570
"sg","gt",210,233681017
"tr","jp",10,1249971688
"ro","lu",331,66480910
"nz","gt",201,238911758
"nl","bg",2001,1238457931
"ni","fr",323,39326273
"pl","my",525,778042542
"lt","ar",75,36780208
"nz","nl",2470,238911758
"vn","hu",435,183269158
"sg","nl",1787,233681017
"tr","ch",403,1249971688
"sv","cl",4629,104100002
"ee","au",3262,26079298
"de","bg",1729,2848080355
"ro","ca",3614,66480910
"th","ph",1215,373758083
"sg","cl",58,233681017
"sv","nl",295,104100002
"in","be",1309,1196976949
"nz","cl",58,238911758
"th","it",66,373758083
"us","sg",2231,7986316247
"no","mx",469,569319503
"sk","hk",926,59822451
"gr","ch",1378,160374254
"jp","gt",52,1288700883
"ni","cr",5230,39326273
"se","lv",1912,944441421
"sk","is",2126,59822451
"ph","pe",169,1335593544
"gb","be",3554,2239079359
"global","bg",3595,29060235997
"nl","ec",245,1238457931
"tr","th",15,1249971688
"vn","fi",283,183269158
"ie","global",3752,301787717
"lv","ch",3670,26516393
"pa","do",4805,103847109
"ee","de",2020,26079298
"fi","do",63,292593197
"dk","br",123,420215977
"ni","lv",285,39326273
"se","cr",305,944441421
"za","be",3030,82232947
"is","ar",57,36469203
"py","pe",4590,286041437
"es","cr",2963,2478566814
"nl","co",145,1238457931
"cr","ar",3630,169967588
"fi","ch",2301,292593197
"pt","it",454,196362474
"sv","es",2695,104100002
"do","de",71,107506637
"ro","cr",351,66480910
"pt","ph",794,196362474
"vn","gb",578,183269158
"lu","id",26,1665635
"gr","do",52,160374254
"nz","es",82,238911758
"no","bo",207,569319503
"cl","ar",3438,1569157590
"mx","it",205,3730515231
"ro","lv",4217,66480910
"sg","es",83,233681017
"bg","at",2450,25808515
"il","at",1689,114722000
"sv","sk",264,104100002
"lv","do",96,26516393
"pe","it",138,709049813
"pa","ch",255,103847109
"jp","co",18,1288700883
"hk","be",1196,110866207
"es","ca",84,2478566814
"sg","dk",1812,233681017
"uy","be",149,121078533
"il","id",347,114722000
"do","au",75,107506637
"nz","dk",2549,238911758
"co","be",132,553597716
"vn","br",105,183269158
"sv","bg",276,104100002
"se","ca",2034,944441421
"lu","lt",317,1665635
"de","cl",56,2848080355
"jp","ec",18,1288700883
"us","ph",1163,7986316247
"sg","bg",1923,233681017
"hu","be",4014,106950270
"lu","at",265,1665635
"pl","ar",44,778042542
"th","sg",1315,373758083
"nz","bg",2829,238911758
"us","it",320,7986316247
"nl","gt",244,1238457931
"ni","ca",255,39326273
"tr","do",25,1249971688
"sv","dk",231,104100002
"my","hk",2183,296407407
"fi","cz",2124,292593197
"hn","cr",5121,80897137
"py","nl",116,286041437
"uy","no",100,121078533
"no","my",1504,569319503
"tr","ee",314,1249971688
"tr","global",379,1249971688
"gt","dk",176,211651568
"pa","gr",90,103847109
"pa","nz",134,103847109
"ee","at",2671,26079298
"hk","ec",149,110866207
"us","cr",405,7986316247
"uy","ec",3911,121078533
"tr","ni",87,1249971688
"hu","co",106,106950270
"za","gt",201,82232947
"is","bo",197,36469203
"vn","jp",516,183269158
"gt","bg",208,211651568
"id","ca",655,1522282447
"pt","lv",2751,196362474
"vn","il",351,183269158
"mx","cr",4875,3730515231
"lv","ee",4187,26516393
"pl","mx",294,778042542
"hk","co",107,110866207
"jp","be",91,1288700883
"us","lv",3330,7986316247
"py","cl",4906,286041437
"uy","co",3683,121078533
"il","hn",270,114722000
"ph","nl",926,1335593544
"hu","ec",186,106950270
"pa","cz",135,103847109
"lu","fr",108,1665635
"lt","bo",261,36780208
"gr","ee",1369,160374254
"us","tr",164,7986316247
"tr","pa",42,1249971688
"sv","pe",4699,104100002
"pa","in",108,103847109
"pe","cr",4981,709049813
"za","pt",2483,82232947
"in","gt",137,1196976949
"ro","it",548,66480910
"my","is",1268,296407407
"gt","es",2691,211651568
"pe","lv",245,709049813
"ro","ph",852,66480910
"th","ca",388,373758083
"sg","pe",307,233681017
"pt","cr",621,196362474
"il","fr",1102,114722000
"mx","lv",498,3730515231
"lu","hn",25,1665635
"fi","ee",2551,292593197
"ch","bg",3206,227284570
"tr","cz",392,1249971688
"hu","gt",204,106950270
"ph","es",19,1335593544
"se","ph",580,944441421
"lu","de",191,1665635
"za","co",111,82232947
"lu","global",319,1665635
"gb","co",101,2239079359
"pl","bo",158,778042542
"py","es",2983,286041437
"us","ca",4909,7986316247
"vn","us",510,183269158
"tr","nz",274,1249971688
"tr","gr",261,1249971688
"ni","it",155,39326273
"pa","ee",131,103847109
"za","no",2330,82232947
"lu","ie",321,1665635
"tw","hk",1908,235686855
"hk","gt",157,110866207
"hn","ca",277,80897137
"uy","gt",3492,121078533
"ie","hk",1350,301787717
"pa","ni",4546,103847109
"lv","in",1233,26516393
"za","ec",188,82232947
"gr","cz",1093,160374254
"tw","is",617,235686855
"il","de",1213,114722000
"ph","bg",748,1335593544
"gb","ec",183,2239079359
"it","hk",203,2125984974
"nl","be",3345,1238457931
"bg","au",3198,25808515
"il","au",1942,114722000
"se","it",448,944441421
"cr","bo",5292,169967588
"th","cr",103,373758083
"py","dk",29,286041437
"pt","ca",2719,196362474
"lv","cz",3286,26516393
"in","co",55,1196976949
"lu","au",297,1665635
"do","at",72,107506637
"gt","cl",4495,211651568
"ph","dk",769,1335593544
"pe","ca",242,709049813
"lv","gr",1503,26516393
"id","cr",168,1522282447
"th","global",658,373758083
"it","is",448,2125984974
"th","lv",261,373758083
"py","bg",47,286041437
"uy","pt",359,121078533
"cl","bo",4388,1569157590
"tr","in",201,1249971688
"no","ar",89,569319503
"il","ie",1770,114722000
"mx","ca",463,3730515231
"in","ec",137,1196976949
"id","co",94,1522282447
"th","ec",37,373758083
"is","hu",2330,36469203
"it","in",272,2125984974
"tr","is",249,1249971688
"cl","br",40,1569157590
"ph","fr",258,1335593544
"sv","ro",316,104100002
"gt","au",201,211651568
"pl","gb",955,778042542
"th","no",244,373758083
"pt","gt",497,196362474
"id","ec",99,1522282447
"lt","fi",2344,36780208
"cr","br",88,169967588
"th","co",48,373758083
"us","pt",2329,7986316247
"pe","gt",4693,709049813
"za","tr",294,82232947
"in","cr",205,1196976949
"tw","in",828,235686855
"de","at",4797,2848080355
"py","fr",160,286041437
"sg","ro",2043,233681017
"mx","gt",5099,3730515231
"lv","hk",1136,26516393
"lu","cl",9,1665635
"ni","be",300,39326273
"gt","de",160,211651568
"lv","is",2844,26516393
"za","lv",3333,82232947
"tw","nz",901,235686855
"tw","gr",207,235686855
"it","cz",538,2125984974
"py","hn",4541,286041437
"us","gt",292,7986316247
"nl","it",462,1238457931
"co","ca",112,553597716
"ec","ch",296,258948980
"il","cl",60,114722000
"se","be",2048,944441421
"ie","gr",1156,301787717
"za","cr",326,82232947
"my","ee",1504,296407407
"lt","hu",3863,36780208
"fr","ee",1188,1747249125
"hk","ca",1474,110866207
"hn","gt",5561,80897137
"es","be",111,2478566814
"uy","ca",106,121078533
"tr","hk",112,1249971688
"vn","ar",68,183269158
"gb","cr",323,2239079359
"tw","cz",660,235686855
"pl","br",82,778042542
"it","gr",280,2125984974
"is","fi",2107,36469203
"hu","ca",3250,106950270
"ph","hn",123,1335593544
"sk","ch",3217,59822451
"ie","cz",2768,301787717
"pl","hu",1064,778042542
"id","gt",122,1522282447
"my","in",1726,296407407
"sg","id",2669,233681017
"uy","tr",75,121078533
"ec","do",4336,258948980
"vn","my",1981,183269158
"il","dk",1506,114722000
"pe","ec",5186,709049813
"ro","be",3538,66480910
"tw","pa",110,235686855
"nz","id",975,238911758
"is","gb",2800,36469203
"py","de",52,286041437
"pt","co",369,196362474
"mx","ec",4859,3730515231
"ph","ie",1154,1335593544
"pe","no",215,709049813
"in","ca",1382,1196976949
"lt","br",196,36780208
"th","gt",72,373758083
"py","ie",49,286041437
"pt","no",2048,196362474
"il","bg",2163,114722000
"no","jp",82,569319503
"ph","de",463,1335593544
"pe","co",4492,709049813
"pa","is",131,103847109
"lu","es",14,1665635
"ch","au",3303,227284570
"pt","ec",470,196362474
"sv","global",1117,104100002
"sv","id",148,104100002
"mx","co",4471,3730515231
"sk","do",75,59822451
"tw","ee",631,235686855
"hk","cr",208,110866207
"dk","ar",39,420215977
"us","ec",276,7986316247
"uy","cr",3872,121078533
"sg","lt",2163,233681017
"no","il",1614,569319503
"ie","ee",3203,301787717
"sv","at",258,104100002
"pl","fi",761,778042542
"tw","ni",184,235686855
"my","gr",623,296407407
"jp","it",43,1288700883
"is","br",122,36469203
"nz","lt",2924,238911758
"py","au",49,286041437
"us","no",2299,7986316247
"hn","ec",5060,80897137
"ph","lu",73,1335593544
"pa","hk",117,103847109
"za","ca",3911,82232947
"lu","dk",229,1665635
"lt","gb",3420,36780208
"my","cz",1454,296407407
"gb","ca",3999,2239079359
"nz","at",2319,238911758
"global","au",4372,29060235997
"th","pt",299,373758083
"fr","cz",1129,1747249125
"py","lu",9,286041437
"us","co",195,7986316247
"uy","lv",66,121078533
"ph","au",1562,1335593544
"hu","cr",327,106950270
"gt","fr",302,211651568
"za","uy",107,82232947
"it","ee",511,2125984974
"br","bo",47,4201011223
"hn","co",4632,80897137
"sg","at",1663,233681017
"il","es",81,114722000
"sv","lt",314,104100002
"lu","bg",273,1665635
"ee","bg",3338,26079298
"de","au",1904,2848080355
"it","do",64,2125984974
"hn","be",320,80897137
"cz","ch",3268,133732925
"us","be",2508,7986316247
"vn","tw",1139,183269158
"no","gb",2910,569319503
"sv","fr",334,104100002
"se","gt",201,944441421
"sk","pa",140,59822451
"ee","dk",2511,26079298
"sg","fr",828,233681017
"uy","it",78,121078533
"vn","bo",118,183269158
"lt","il",2116,36780208
"tw","do",68,235686855
"do","cl",4839,107506637
"nz","fr",1209,238911758
"jp","cr",30,1288700883
"uy","ph",22,121078533
"nl","ca",2432,1238457931
"ni","gt",5571,39326273
"ie","do",75,301787717
"gt","at",204,211651568
"ro","ec",235,66480910
"is","il",1559,36469203
"sv","hn",5755,104100002
"sk","ee",2892,59822451
"mx","be",530,3730515231
"za","sg",2136,82232947
"ro","co",155,66480910
"my","ch",1427,296407407
"nz","hn",269,238911758
"fr","ch",1514,1747249125
"pt","be",2954,196362474
"lt","jp",119,36780208
"ro","no",2614,66480910
"no","br",146,569319503
"sk","ni",264,59822451
"se","pt",1462,944441421
"pe","be",271,709049813
"sg","hn",285,233681017
"my","do",74,296407407
"global","ec",1030,29060235997
"jp","ca",105,1288700883
"fr","do",159,1747249125
"ch","at",4457,227284570
"es","co",3016,2478566814
"sg","de",1248,233681017
"nl","cr",344,1238457931
"no","hu",2586,569319503
"sv","ie",257,104100002
"za","it",362,82232947
"tw","th",843,235686855
"nz","de",1697,238911758
"py","id",48,286041437
"dk","bo",181,420215977
"nl","global",2568,1238457931
"vn","pl",125,183269158
"ni","ec",4908,39326273
"sv","py",4695,104100002
"se","co",99,944441421
"za","ph",1059,82232947
"ro","pt",2787,66480910
"pl","jp",14,778042542
"nz","ie",3643,238911758
"es","ec",3067,2478566814
"br","ar",57,4201011223
"nl","lv",2480,1238457931
"sg","py",49,233681017
"ph","id",2351,1335593544
"se","no",2673,944441421
"pe","global",1114,709049813
"sg","ie",2372,233681017
"ni","co",4437,39326273
"vn","mx",158,183269158
"hu","global",3639,106950270
"se","ec",183,944441421
"sk","in",1126,59822451
"sv","de",208,104100002
"ee","cl",37,26079298
"pl","il",618,778042542
"sg","se",1356,233681017
"sg","au",2954,233681017
"sv","lu",18,104100002
"tw","ch",721,235686855
"do","dk",65,107506637
"global","cl",840,29060235997
"th","be",275,373758083
"global","at",2695,29060235997
"nz","au",4749,238911758
"py","lt",49,286041437
"no","fi",2335,569319503
"sk","cz",3809,59822451
"ie","ch",3229,301787717
"ph","at",594,1335593544
"ph","global",1794,1335593544
"ro","gt",237,66480910
"it","ch",577,2125984974
"nz","lu",257,238911758
"py","at",49,286041437
"uy","sg",107,121078533
"ec","cz",186,258948980
"sk","nz",2348,59822451
"sk","gr",1154,59822451
"ph","lt",803,1335593544
"id","be",602,1522282447
"do","bg",75,107506637
"bo","be",258,121960058
"sg","lu",173,233681017
"sv","au",262,104100002
"sv","se",258,104100002
"ro","global",3694,66480910
"global","de",1870,29060235997
"es","bg",93,2478566814
"cl","ch",172,1569157590
"za","at",2244,82232947
"ro","nl",2128,66480910
"jp","ie",82,1288700883
"ni","dk",215,39326273
"sk","gb",2828,59822451
"se","bg",1780,944441421
"sv","ca",272,104100002
"pa","ar",3250,103847109
"tw","jp",479,235686855
"fi","ar",30,292593197
"ro","cl",53,66480910
"cr","ch",442,169967588
"jp","de",82,1288700883
"th","pe",132,373758083
"es","dk",71,2478566814
"sg","ca",2799,233681017
"gb","at",2665,2239079359
"nz","ca",3963,238911758
"is","do",75,36469203
"nl","fr",1133,1238457931
"ni","bg",274,39326273
"se","dk",1999,944441421
"in","id",1078,1196976949
"za","lt",2930,82232947
"pl","ch",999,778042542
"de","cr",264,2848080355
"no","ni",245,569319503
"ph","it",166,1335593544
"sk","br",165,59822451
"lt","do",110,36780208
"tw","il",600,235686855
"ca","ar",102,1244580639
"no","ee",2757,569319503
"tr","my",166,1249971688
"be","at",3192,303249901
"se","es",86,944441421
"in","at",1038,1196976949
"jp","au",89,1288700883
"py","it",74,286041437
"uy","ro",82,121078533
"nl","hn",311,1238457931
"ni","es",2585,39326273
"ec","br",51,258948980
"do","co",4158,107506637
"it","il",304,2125984974
"global","es",795,29060235997
"za","id",672,82232947
"ee","co",84,26079298
"nz","cr",319,238911758
"jp","fr",82,1288700883
"hu","at",2973,106950270
"sv","lv",286,104100002
"sk","hu",3759,59822451
"lu","be",336,1665635
"my","jp",405,296407407
"global","co",932,29060235997
"nl","de",2047,1238457931
"sg","cr",341,233681017
"pt","pe",513,196362474
"uy","lt",82,121078533
"lt","ch",3487,36780208
"ee","ec",162,26079298
"nz","lv",3259,238911758
"hk","at",816,110866207
"uy","at",107,121078533
"nl","ie",2865,1238457931
"sv","cr",5475,104100002
"pl","do",30,778042542
"ro","es",95,66480910
"pt","global",3225,196362474
"sg","lv",2079,233681017
"co","at",104,553597716
"vn","hk",1445,183269158
"tr","ar",80,1249971688
"no","in",928,569319503
"ro","dk",2361,66480910
"es","cl",3183,2478566814
"py","global",821,286041437
"vn","is",351,183269158
"za","ro",3268,82232947
"jp","hn",59,1288700883
"is","ch",2542,36469203
"uy","id",67,121078533
"nl","au",2800,1238457931
"il","be",2193,114722000
"no","cz",2311,569319503
"bg","be",3317,25808515
"sk","fi",2101,59822451
"se","cl",58,944441421
"my","il",1100,296407407
"ni","cl",4314,39326273
"lv","ar",56,26516393
"ro","bg",4370,66480910
"de","ca",1809,2848080355
"gr","ar",66,160374254
"us","pe",316,7986316247
"nl","lu",244,1238457931
"no","gr",1166,569319503
"se","nl",1799,944441421
"pa","my",131,103847109
"gb","au",4191,2239079359
"tw","hu",707,235686855
"cz","br",179,133732925
"us","sk",2149,7986316247
"il","ec",185,114722000
"il","global",2323,114722000
"ie","hu",3402,301787717
"ph","ca",1366,1335593544
"hu","hn",275,106950270
"pe","dk",191,709049813
"za","lu",201,82232947
"in","ie",1060,1196976949
"my","gb",1755,296407407
"lt","cz",3152,36780208
"jp","id",329,1288700883
"hn","es",2770,80897137
"uy","hn",3267,121078533
"uy","sv",3517,121078533
"il","co",100,114722000
"pe","bg",240,709049813
"pl","pa",66,778042542
"my","global",2553,296407407
"lt","gr",1451,36780208
"ca","bo",229,1244580639
"pt","bg",2690,196362474
"mx","dk",414,3730515231
"is","in",854,36469203
"it","hu",522,2125984974
"us","es",149,7986316247
"py","ca",49,286041437
"pt","dk",1879,196362474
"mx","bg",421,3730515231
"za","au",3449,82232947
"za","se",1750,82232947
"in","de",804,1196976949
"pl","ee",972,778042542
"gb","de",1958,2239079359
"id","cl",55,1522282447
"lt","in",1130,36780208
"us","dk",2114,7986316247
"pt","es",352,196362474
"sv","it",179,104100002
"pa","bo",4381,103847109
"za","ie",2897,82232947
"my","br",181,296407407
"ro","pe",288,66480910
"it","fi",482,2125984974
"is","gr",1207,36469203
"fr","br",72,1747249125
"nz","it",405,238911758
"us","bg",3072,7986316247
"sg","ph",3217,233681017
"mx","es",2522,3730515231
"tw","fi",528,235686855
"pl","ni",137,778042542
"th","nl",255,373758083
"is","cz",2057,36469203
"jp","at",86,1288700883
"hn","dk",245,80897137
"ch","ca",3317,227284570
"no","ch",2953,569319503
"tr","pl",199,1249971688
"gt","cr",5580,211651568
"ie","fi",2109,301787717
"hu","fr",1195,106950270
"sv","ph",118,104100002
"lu","ec",15,1665635
"za","py",49,82232947
"ee","be",3479,26079298
"fi","bo",179,292593197
"hk","fr",377,110866207
"hn","bg",270,80897137
"uy","fr",184,121078533
"sg","it",318,233681017
"tr","mx",97,1249971688
"be","au",3776,303249901
"pe","es",2918,709049813
"lu","co",12,1665635
"in","au",1359,1196976949
"za","de",1607,82232947
"do","be",114,107506637
"id","bg",509,1522282447
"th","dk",252,373758083
"py","cr",4717,286041437
"bo","bg",222,121960058
"co","au",100,553597716
"sv","sg",287,104100002
"za","hn",274,82232947
"za","sv",271,82232947
"tw","gb",811,235686855
"hk","au",1521,110866207
"us","nl",1771,7986316247
"uy","au",84,121078533
"uy","se",78,121078533
"nl","id",492,1238457931
"ph","lv",808,1335593544
"se","pe",206,944441421
"ie","gb",4964,301787717
"in","fr",715,1196976949
"id","dk",404,1522282447
"it","gb",500,2125984974
"th","bg",309,373758083
"py","lv",47,286041437
"us","cl",114,7986316247
"sg","global",3319,233681017
"uy","lu",8,121078533
"au","ar",74,1266252167
"il","gt",202,114722000
"sk","jp",91,59822451
"lv","bo",230,26516393
"th","sk",242,373758083
"is","ee",2699,36469203
"sk","il",1935,59822451
"in","hn",201,1196976949
"gr","bo",157,160374254
"lt","ee",3769,36780208
"my","hu",1491,296407407
"pl","in",300,778042542
"hn","cl",4688,80897137
"no","do",75,569319503
"hu","au",3388,106950270
"ph","cr",155,1335593544
"pl","cz",976,778042542
"tw","br",125,235686855
"id","es",62,1522282447
"hk","de",657,110866207
"nl","lt",2466,1238457931
"pt","cl",340,196362474
